Tabelle di saturazione di R134a

-,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo,-,liquido saturo,-,vapore saturo
T (°C),P (MPa),vL (m^3/kg),vL-vv (m^3/kg),vv (m^3/kg),uL (kJ/kg),uv (kJ/kg),hL (kJ/kg),hL–hv (kJ/kg),hv (kJ/kg),sL (kJ/kgK),sL–sv (kJ/kgK),sv (kJ/kgK)
-50.0,0.02945,0.00069,0.60551,0.6062,-30.16,184.0,-30.14,231.94,201.8,-0.128,1.0395,0.9115
-47.5,0.03401,0.00069,0.52911,0.5298,-27.06,185.4,-27.03,230.43,203.4,-0.1142,1.0213,0.9071
-45.0,0.03912,0.00070,0.464,0.4647,-23.95,186.8,-23.92,228.92,205,-0.1005,1.0034,0.9029
-42.5,0.04483,0.00070,0.4083,0.409,-20.83,188.3,-20.8,227.4,206.6,-0.08693,0.98593,0.899
-40.0,0.05121,0.00071,0.36039,0.3611,-17.70,189.7,-17.67,225.87,208.2,-0.07344,0.96874,0.8953
-37.5,0.05829,0.00071,0.31909,0.3198,-14.56,191.1,-14.52,224.32,209.8,-0.06004,0.95184,0.8918
-35.0,0.06614,0.00071,0.28329,0.284,-11.41,192.6,-11.37,222.77,211.4,-0.04675,0.93525,0.8885
-32.5,0.07482,0.00072,0.25228,0.253,-8.25,194.0,-8.198,221.098,212.9,-0.03354,0.91894,0.8854
-30.0,0.08438,0.00072,0.22518,0.2259,-5.08,195.4,-5.018,219.518,214.5,-0.02042,0.90282,0.8824
-27.5,0.09488,0.00072,0.20158,0.2023,-1.90,196.9,-1.826,217.926,216.1,-0.00739,0.88709,0.8797
-25.0,0.1064,0.00073,0.18087,0.1816,1.30,198.3,1.378,216.222,217.6,0.00555,0.87145,0.877
-22.5,0.119,0.00073,0.16267,0.1634,4.51,199.7,4.595,214.605,219.2,0.01841,0.85619,0.8746
-20.0,0.1327,0.00074,0.14666,0.1474,7.73,201.2,7.826,212.874,220.7,0.0312,0.8411,0.8723
-17.5,0.1477,0.00074,0.13246,0.1332,10.96,202.6,11.07,211.23,222.3,0.04391,0.82619,0.8701
-15.0,0.1639,0.00074,0.11996,0.1207,14.21,204.0,14.33,209.47,223.8,0.05654,0.81146,0.868
